timestamp,active_app,process_name,window_title,split_screen_detected,visible_other_apps
2026-04-30T23:41:18,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:20,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:22,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:24,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:26,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:28,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:30,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:32,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:34,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:36,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:38,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:40,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:42,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:44,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:46,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:41:48,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
